Oxygen supply type,Manufacturer,Model,lpm,cbh,Height (meters),Width (meters),Link,
,I don't know,,,,,,,
PSA Plant,Airsep,AS-G,151,9.1,,,,,
PSA Plant,Airsep,AS-J,283,17.0,,,,,
PSA Plant,Airsep,AS-K,424,25.4,,,,,
PSA Plant,Airsep,AS-L,613,36.8,,,,,
PSA Plant,Airsep,AS-P,1085,65.1,,,,,
Portable PSA,Airsep Newlife CAIRE,Intensity 10,10,0.6,,,,,
Portable PSA,Airsep Newlife CAIRE,Intensity 10 Dual,10,0.6,,,,,
Portable PSA,Canta,V8-WN-NS,8,0.5,,,,,
Portable PSA,Longfian,Jay 10,10,0.6,,,,,
Portable PSA,Nidek Medical,Nuvo 10,10,0.6,,,,,
Portable PSA,Nidek Medical,The Max 30,30,1.8,93,1.16,0.61,https://www.nidekmedical.com/docs/Max30-Brochure.pdf,
Portable PSA,Oxytec,Ox-10A,10,0.6,,,,,
PSA Plant,OGSI,OG-20 ,10,0.6,93,,,http://www.ogsi.com/index.php?src=directory&view=Products&srctype=detail&refno=30&category=products,
PSA Plant,OGSI,OG-25,12,0.7,93,,,http://www.ogsi.com/index.php?src=directory&view=Products&srctype=detail&refno=30&category=products,
PSA Plant,OGSI,OG-50,22,1.3,93,,,http://www.ogsi.com/index.php?src=directory&view=Products&srctype=detail&refno=30&category=products,
PSA Plant,OGSI,OG-100,50,3.0,93,,,http://www.ogsi.com/index.php?src=directory&view=Products&srctype=detail&refno=30&category=products,
PSA Plant,OGSI,OG-175,83,5.0,93,,,http://www.ogsi.com/index.php?src=directory&view=Products&srctype=detail&refno=30&category=products,
PSA Plant,OGSI,OG-250,117,7.0,93,,,http://www.ogsi.com/index.php?src=directory&view=Products&srctype=detail&refno=30&category=products,
PSA Plant,OGSI,OG-375,167,10.0,93,,,http://www.ogsi.com/index.php?src=directory&view=Products&srctype=detail&refno=30&category=products,
PSA Plant,OGSI,OG-500,217,13.0,93,,,http://www.ogsi.com/index.php?src=directory&view=Products&srctype=detail&refno=30&category=products,
PSA Plant,OGSI,OG-650,283,17.0,93,,,http://www.ogsi.com/index.php?src=directory&view=Products&srctype=detail&refno=30&category=products,
PSA Plant,OGSI,OG-750,333,20.0,93,,,http://www.ogsi.com/index.php?src=directory&view=Products&srctype=detail&refno=30&category=products,
PSA Plant,OGSI,OG-1000,433,26.0,93,,,http://www.ogsi.com/index.php?src=directory&view=Products&srctype=detail&refno=30&category=products,
PSA Plant,OGSI,OG-1250,550,33.0,93,,,http://www.ogsi.com/index.php?src=directory&view=Products&srctype=detail&refno=30&category=products,
PSA Plant,OGSI,OG-1500,650,39.0,93,,,http://www.ogsi.com/index.php?src=directory&view=Products&srctype=detail&refno=30&category=products,
PSA Plant,OGSI,OG-2000,883,53.0,93,,,http://www.ogsi.com/index.php?src=directory&view=Products&srctype=detail&refno=30&category=products,
PSA Plant,OGSI,OG-2500,1100,66.0,93,,,http://www.ogsi.com/index.php?src=directory&view=Products&srctype=detail&refno=30&category=products,
PSA Plant,OGSI,OG-3000,1317,79.0,93,,,http://www.ogsi.com/index.php?src=directory&view=Products&srctype=detail&refno=30&category=products,
PSA Plant,OGSI,OG-4000,1750,105.0,93,,,http://www.ogsi.com/index.php?src=directory&view=Products&srctype=detail&refno=30&category=products,
PSA Plant,OGSI,OG-5000,2183,131.0,93,,,http://www.ogsi.com/index.php?src=directory&view=Products&srctype=detail&refno=30&category=products,
PSA Plant,Oxymat,O40,44,2.6,93,,,https://www.oxymat.com/products/psa-oxygen-generators/oxymat-psa-oxygen-generators,"*at 93%; Stated flow in NM3/hour are for operation with reference to 20 °C, 1013 mbar. Inlet pressure 6-8 barG, outlet pressure 4. Flow variance ±5%."
PSA Plant,Oxymat,O60,63,3.8,93,,,https://www.oxymat.com/products/psa-oxygen-generators/oxymat-psa-oxygen-generators,
PSA Plant,Oxymat,O70,96,5.8,93,,,https://www.oxymat.com/products/psa-oxygen-generators/oxymat-psa-oxygen-generators,
PSA Plant,Oxymat,O100,124,7.5,93,,,https://www.oxymat.com/products/psa-oxygen-generators/oxymat-psa-oxygen-generators,
PSA Plant,Oxymat,O190,256,15.4,93,,,https://www.oxymat.com/products/psa-oxygen-generators/oxymat-psa-oxygen-generators,
PSA Plant,Oxymat,O280,408,24.5,93,,,https://www.oxymat.com/products/psa-oxygen-generators/oxymat-psa-oxygen-generators,
PSA Plant,Oxymat,O430,501,30.1,93,,,https://www.oxymat.com/products/psa-oxygen-generators/oxymat-psa-oxygen-generators,
PSA Plant,Oxymat,O640,749,44.9,93,,,https://www.oxymat.com/products/psa-oxygen-generators/oxymat-psa-oxygen-generators,
PSA Plant,Oxymat,O880,936,56.2,93,,,https://www.oxymat.com/products/psa-oxygen-generators/oxymat-psa-oxygen-generators,
PSA Plant,Oxymat,O1250,1281,76.8,93,,,https://www.oxymat.com/products/psa-oxygen-generators/oxymat-psa-oxygen-generators,
PSA Plant,Oxymat,O1500,1478,88.7,93,,,https://www.oxymat.com/products/psa-oxygen-generators/oxymat-psa-oxygen-generators,
PSA Plant,Oxymat,O880 X2,1872,112.3,93,,,https://www.oxymat.com/products/psa-oxygen-generators/oxymat-psa-oxygen-generators,
